domain,year,title,status,method_or_scope,primary_url,relevance_to_CGDiT
materials_diffusion,2025,"Structural constraint integration in a generative model for discovery of quantum materials (SCIGEN)","Nature Materials 2025","Hard geometric constraints in diffusion with experimental validation",https://www.nature.com/articles/s41563-025-02355-y,"Constraint and discovery baseline"
materials_diffusion,2025,"Periodic Materials Generation using Text-Guided Joint Diffusion Model (TGDMat)","arXiv 2025","Text-guided joint crystal diffusion",https://arxiv.org/abs/2503.00522,"Multimodal conditioning prior"
materials_diffusion,2025,"InvDesFlow-AL","npj Computational Materials 2025","Conditional generative diffusion with active learning",https://www.nature.com/articles/s41524-025-01830-z,"Closed-loop inverse-design prior"
materials_flow,2025,"CrystalFlow","Nature Communications 2025","Flow matching for crystal generation",https://www.nature.com/articles/s41467-025-64364-4,"Strong sampling-efficiency baseline"
materials_diffusion,2026,"ChargeDIFF","Nature Communications 2026","A-X-L-charge joint heterogeneous diffusion with D3PM atom types",https://www.nature.com/articles/s41467-026-73985-2,"Closest heterogeneous-channel precedent"
materials_diffusion,2026,"DiffCrysGen","npj Computational Materials 2026","Unified end-to-end score diffusion for inorganic crystals",https://www.nature.com/articles/s41524-026-02147-1,"Current generation and efficiency baseline"
materials_diffusion,2026,"Score-based diffusion models for crystal-structure inpainting and reconstruction of hydrogen positions (XtalPaint)","npj Computational Materials 2026","Crystal inpainting and missing-hydrogen reconstruction",https://www.nature.com/articles/s41524-026-02090-1,"Relevant to repair or completion tasks"
materials_diffusion,2026,"A generative diffusion model for amorphous materials","npj Computational Materials 2026","Amorphous atomic structure generation",https://www.nature.com/articles/s41524-025-01901-1,"Broadens material-structure scope"
materials_diffusion,2026,"Siamese foundation models for crystal structure prediction (DAO)","Nature Communications 2026","DiffCSP-based generator plus energy predictor",https://www.nature.com/articles/s41467-026-72362-3,"Generator-predictor collaboration prior"
materials_diffusion,2026,"Symmetry-aware conditional generation of crystal structures using diffusion models (WyckoffDiff-Adapter)","Computational Materials Science 2026","WyckoffDiff with MatterGen-style property adapter",https://doi.org/10.1016/j.commatsci.2026.114789,"High overlap with symmetry and multi-condition adapter"
diffusion_rl,2023,"DPOK: Reinforcement Learning for Fine-tuning Text-to-Image Diffusion Models","NeurIPS 2023","Policy optimization with KL regularization",https://openreview.net/forum?id=8OTPepXzeh,"Reference-KL precedent"
diffusion_rl,2024,"Training Diffusion Models with Reinforcement Learning (DDPO)","ICLR 2024","Denoising MDP and black-box policy gradient",https://openreview.net/forum?id=w5QmbPyzfg,"Core mathematical starting point"
diffusion_reward_gradient,2023,"ImageReward / ReFL","NeurIPS 2023","Learned reward and reward feedback learning",https://arxiv.org/abs/2304.05977,"Differentiable-reward baseline"
diffusion_reward_gradient,2024,"DRaFT","ICLR 2024","Direct reward backpropagation through diffusion sampling",https://openreview.net/forum?id=1vmSEVL19f,"Strong alternative when surrogate is differentiable"
diffusion_reward_gradient,2024,"Aligning Text-to-Image Diffusion Models with Reward Backpropagation (AlignProp)","2024","Reward backpropagation",https://arxiv.org/abs/2310.03739,"Strong alternative when reward is differentiable"
diffusion_rl,2024,"TDPO-R","ICML 2024","Temporal credit assignment and reward-overoptimization control",https://openreview.net/forum?id=v2o9rRJcEv,"Prior temporal-credit method"
diffusion_rl,2024,"Training Diffusion Models Towards Diverse Image Generation with Reinforcement Learning","CVPR 2024","Diversity-targeted RL",https://openaccess.thecvf.com/content/CVPR2024/html/Miao_Training_Diffusion_Models_Towards_Diverse_Image_Generation_with_Reinforcement_Learning_CVPR_2024_paper.html,"Diversity reward precedent"
diffusion_preference,2024,"Diffusion Model Alignment Using Direct Preference Optimization","CVPR 2024","ELBO-derived diffusion DPO",https://openaccess.thecvf.com/content/CVPR2024/html/Wallace_Diffusion_Model_Alignment_Using_Direct_Preference_Optimization_CVPR_2024_paper.html,"Offline preference baseline"
diffusion_preference,2024,"Using Human Feedback to Fine-tune Diffusion Models without Any Reward Model (D3PO)","CVPR 2024","Preference fine-tuning without explicit reward model",https://openaccess.thecvf.com/content/CVPR2024/html/Yang_Using_Human_Feedback_to_Fine-tune_Diffusion_Models_without_Any_Reward_CVPR_2024_paper.html,"Reward-model-free baseline"
diffusion_rl,2025,"B2-DiffuRL","CVPR 2025","Backward progressive and branch-based RL",https://openaccess.thecvf.com/content/CVPR2025/html/Hu_Towards_Better_Alignment_Training_Diffusion_Models_with_Reinforcement_Learning_Against_CVPR_2025_paper.html,"Sparse-terminal-reward variance reduction"
diffusion_preference,2025,"Aesthetic Post-Training Diffusion Models from Generic Preferences with Step-by-step Preference Optimization (SPO)","CVPR 2025","Step-wise preference optimization",https://openaccess.thecvf.com/content/CVPR2025/html/Liang_Aesthetic_Post-Training_Diffusion_Models_from_Generic_Preferences_with_Step-by-step_Preference_CVPR_2025_paper.html,"Stepwise credit precedent"
diffusion_preference,2025,"Rethinking DPO-style Diffusion Aligning Frameworks (RDPO)","ICCV 2025","Corrected intermediate preference ordering",https://openaccess.thecvf.com/content/ICCV2025/html/Wu_Rethinking_DPO-style_Diffusion_Aligning_Frameworks_ICCV_2025_paper.html,"Preference-bias baseline"
diffusion_rl,2025,"Score as Action","ICML 2025","Continuous-time stochastic-control RL",https://proceedings.mlr.press/v267/zhao25f.html,"Continuous-time theory baseline"
flow_rl,2025,"Flow-GRPO","arXiv 2025","Online GRPO for flow matching",https://arxiv.org/abs/2505.05470,"Direct baseline for Diff2Flow route"
diffusion_rl,2025,"DanceGRPO","arXiv 2025","GRPO for diffusion visual generation",https://arxiv.org/abs/2505.07818,"Generic GRPO precedent"
diffusion_stochastic_control,2025,"Adjoint Matching","ICLR 2025","Memoryless stochastic optimal control for diffusion and flow reward fine-tuning",https://openreview.net/forum?id=xQBRrtQM8u,"Unified theoretical alternative to trajectory policy gradient"
diffusion_rl,2026,"A Simple and Effective Reinforcement Learning Method for Text-to-Image Diffusion Fine-tuning (LOOP)","TMLR 2026","Leave-one-out PPO with clipping and importance sampling",https://openreview.net/forum?id=i8WJhKn455,"Group-baseline and efficiency precedent"
diffusion_rl,2025,"Advantage Weighted Matching","arXiv 2025","Advantage-weighted score or flow matching",https://arxiv.org/abs/2509.25050,"Low-variance objective aligned with pretraining"
flow_rl,2026,"G2RPO: Granular GRPO for Precise Reward in Flow Models","OpenReview 2025-2026","Multi-granularity trajectory comparison and dense reward",https://openreview.net/forum?id=Rs8qiI2GDb,"Granular credit-assignment precedent"
diffusion_rl,2026,"Diffusion Policy Optimization without Drifting Apart (DiPOD)","ICLR 2026 Workshop","On-policy ELBO regularization and self-distillation",https://openreview.net/forum?id=KopdtMhn0U,"Policy-surrogate drift warning and baseline"
diffusion_stochastic_control,2026,"Efficient Adjoint Matching","arXiv 2026","Linear base drift and closed-form adjoint",https://arxiv.org/abs/2605.11480,"Efficient reward-fine-tuning alternative"
diffusion_rl,2025,"FIND: Fine-tuning Initial Noise Distribution with Policy Optimization","OpenReview","One-step MDP over the initial-noise distribution",https://openreview.net/forum?id=bw3xRlHRtC,"Low-cost initial-distribution policy baseline"
diffusion_inference_alignment,2025,"Inference-Time Alignment of Diffusion Models with Direct Noise Optimization","ICML 2025","Tuning-free optimization of injected noise",https://proceedings.mlr.press/v267/tang25h.html,"Non-RL inference-time reward baseline"
discrete_diffusion_rl,2025,"Fine-Tuning Discrete Diffusion Models with Policy Gradient Methods (SEPO)","NeurIPS 2025","Policy gradient for non-differentiable rewards in discrete diffusion",https://openreview.net/forum?id=rXFzVRZsbt,"Direct D3PM-channel theory prior"
discrete_diffusion_preference,2025,"D2-DPO","ICLR 2025 Workshop","DPO for CTMC discrete diffusion",https://openreview.net/forum?id=qs9CTsC32h,"Discrete preference baseline"
discrete_diffusion_rl,2025,"GLID2E","2025 workshop/research paper","Gradient-free RL for discrete sequence diffusion",https://openreview.net/forum?id=29YgYt69Kl,"Discrete black-box reward prior"
materials_diffusion_rl,2026,"Reinforcement learning with formation energy feedback for material diffusion models (RLFEF)","Neural Networks 2026","Formation-energy policy gradient with symmetry analysis",https://doi.org/10.1016/j.neunet.2025.108146,"Invalidates first material-diffusion-RL claim"
materials_diffusion_rl,2025,"MatInvent: Reinforcement Learning for 3D Crystal Diffusion Generation","ICLR 2025 AI4Mat","Reward-weighted KL experience replay and diversity filter",https://openreview.net/forum?id=Ovxfri7l5L,"Direct single/multi-property RL baseline"
materials_diffusion_rl,2025,"Accelerating inverse materials design using generative diffusion models with reinforcement learning","arXiv 2025 expanded MatInvent","Extended multi-domain property experiments and efficiency claims",https://arxiv.org/abs/2511.03112,"Updated MatInvent evidence"
materials_diffusion_rl,2026,"Design topological materials by reinforcement fine-tuned generative model","Nature Communications 2026","DiffCSP++ direct-space factorized PPO/ReFT",https://www.nature.com/articles/s41467-026-73321-8,"Closest raw-space factorized-policy precedent"
materials_diffusion_rl,2026,"Guiding generative models to uncover diverse and novel crystals via reinforcement learning (Chemeleon2)","Nature Machine Intelligence 2026","Latent diffusion with multi-objective GRPO",https://www.nature.com/articles/s42256-026-01262-4,"Direct GRPO and multi-objective precedent"
materials_flow_rl,2026,"Open Materials Generation with Inference-Time Reinforcement Learning (OMatG-IRL)","ICLR 2026 AI4Mat Spotlight","Inference-time policy gradient on velocity fields",https://openreview.net/forum?id=82lQk0jw0c,"Flow and timestep-annealing precedent"
materials_diffusion_rl,2026,"Synthesizability-Aware Materials Generation with Target Properties via Reinforcement Learning","ICML 2026 AI for Science Workshop","Multi-objective RL with precursor and synthesis constraints",https://openreview.net/pdf?id=o2TIUpiX0t,"Synthesizability-reward precedent"
materials_flow_rl,2026,"MatFlow","Open-source research code","RL fine-tuning of FlowMM",https://github.com/schwallergroup/MatFlow,"Track for future formal publication"
materials_llm_rl,2026,"CRYSTAL: Coordinated Multi-Objective Reinforcement Learning for Crystal Generation","ICML 2026 AI for Science Workshop","LLM GRPO with coordinated multi-objective rewards",https://openreview.net/pdf/94d95333b625bc19463eca098ff60038d639d590.pdf,"Not diffusion but a reward-design competitor"
